ID,RougeMesuré,VertMesuré,BleuMesuré,Brightness,L21S_VDD2L_MEM_ENERGY_AVG_UWS,UFS(Disk)_ENERGY_AVG_UWS,S12S_VDD_AUR_ENERGY_AVG_UWS,Camera_ENERGY_AVG_UWS,GPU3D_ENERGY_AVG_UWS,Sensor_ENERGY_AVG_UWS,Memory_ENERGY_AVG_UWS,Memory_ENERGY_AVG_UWS.1,Display_ENERGY_AVG_UWS,GPS_ENERGY_AVG_UWS,GPU_ENERGY_AVG_UWS,WLANBT_ENERGY_AVG_UWS,L22M_DISP_ENERGY_AVG_UWS,S6M_LLDO1_ENERGY_AVG_UWS,S8M_LLDO2_ENERGY_AVG_UWS,S9M_VDD_CPUCL0_M_ENERGY_AVG_UWS,CPU_BIG_ENERGY_AVG_UWS,CPU_LITTLE_ENERGY_AVG_UWS,CPU_MID_ENERGY_AVG_UWS,INFRASTRUCTURE_ENERGY_AVG_UWS,CELLULAR_ENERGY_AVG_UWS,CELLULAR_ENERGY_AVG_UWS.1,INFRASTRUCTURE_ENERGY_AVG_UWS.1,TPU_ENERGY_AVG_UWS,CPU_LITTLE_FREQ_KHz,CPU_MID_FREQ_KHz,CPU_BIG_FREQ_KHz,GPU0_FREQ,GPU_1FREQ,GPU_MEM_AVG,BATTERY_DISCHARGE_TOTAL_UA,BATTERY_DISCHARGE_RATE_UAS,TOTAL_DATA_WIFI_BYTES,AVG_SOC_TEMP,DIFF_SOC_TEMP,BATTERY__PERCENT,L21S_VDD2L_MEM_ENERGY_UW,UFS(Disk)_ENERGY_UW,S12S_VDD_AUR_ENERGY_UW,Camera_ENERGY_UW,GPU3D_ENERGY_UW,Sensor_ENERGY_UW,Memory_ENERGY_UW,Memory_ENERGY_UW.1,Display_ENERGY_UW,GPS_ENERGY_UW,GPU_ENERGY_UW,WLANBT_ENERGY_UW,L22M_DISP_ENERGY_UW,S6M_LLDO1_ENERGY_UW,S8M_LLDO2_ENERGY_UW,S9M_VDD_CPUCL0_M_ENERGY_UW,CPU_BIG_ENERGY_UW,CPU_LITTLE_ENERGY_UW,CPU_MID_ENERGY_UW,INFRASTRUCTURE_ENERGY_UW,CELLULAR_ENERGY_UW,CELLULAR_ENERGY_UW.1,INFRASTRUCTURE_ENERGY_UW.1,TPU_ENERGY_UW,C_ID,C_PL,M_ID,M_PL
314,93,114,25,93,2349.585183,28857.35471,5068.107855,21694.73894,53861.37103,12356.32516,33928.45177,225298.8051,197824.3267,514.8029666,221137.7358,221251.0823,52803.4008,161077.9227,36106.90894,28186.74519,350874.5048,703069.2881,545020.3914,214342.7321,5168.670313,0,40746.92673,0,1994856,err,1133075,601020,542233,511545344,-8000,1146643.111,5060503,46221.85714,1670,50,70854,864097,153276,655274,1618759,373068,1025212,6822464,5946131,15510,6611561,6681947,1587609,4860747,1088783,850439,10540617,21037784,16606806,6506865,161457,0,1235469,0,63.29530201,75.83785235,428375.0872,4820815.785
315,42,209,199,24,3530.397367,29003.03516,4351.356538,23225.50362,13324.60657,10706.63767,5684.257927,52233.24634,260683.8078,464.4814362,26040.82255,201817.3103,54012.04194,99766.74236,31130.19564,17357.21198,9568.263857,190605.6624,66949.62291,57345.5951,5071.764874,0,27692.32906,0,1055269,658848,532041,135214,103759,445267968,-4000,374112.32,2806937,45757.28571,-1965,49,103606,932737,128941,689559,391140,319313,170472,1568634,7768715,13801,760756,5932058,1610112,2975426,925721,519072,291237,5930520,2036252,1761205,160233,0,827724,0,6.073825503,26.62281879,240543.5705,4601396.832
316,107,8,126,46,1977.248363,27995.57194,4521.758349,21200.37617,45789.02146,11188.42822,10847.0622,115282.1043,189139.6527,478.077545,156339.8895,248537.7335,53011.25409,125801.8871,31788.15141,18228.76743,325387.6023,219666.2316,114778.2461,125638.5048,5185.050621,0,28769.57586,0,1006609,876092,1133493,624582,484085,494297088,-4000,591227.4286,9156199,43890.42857,1031,49,62439,878093,142988,671529,1447465,354165,351442,3684351,5968154,15092,4950891,7751143,1674481,3982379,1005077,581826,10271885,7212781,3699764,4081413,168420,0,915703,0,18.60666667,37.13213333,300541.2533,4721049.893
317,62,60,47,80,2162.556718,27511.20638,4645.460674,20354.20502,50429.3088,11508.65916,21151.16272,134466.2343,137317.9191,493.246056,200805.7619,202370.5786,52312.40946,122215.7713,32954.45541,18640.07704,334019.4094,225041.1944,96749.18085,157303.8076,5310.804079,0,30667.96632,0,1004744,799759,1154630,616370,537902,460484608,-6000,597557.7037,2573327,44316,275,49,64950,818864,139981,610558,1523325,346328,637540,4059067,4118426,14812,6045859,6049352,1570865,3672028,991083,559205,10085622,6682275,2892884,4725828,156574,0,920331,0,18.1,35.64353333,306202.2133,4766605.12
318,60,201,122,90,4448.855461,27302.79789,4250.721985,22392.55358,23445.96057,10679.29988,6340.381445,67925.26572,405236.0557,452.5434423,62652.0968,203988.6223,52765.2593,104087.2993,30786.38049,16791.03929,198012.8238,194878.2362,71747.23166,60987.39102,5329.062693,0,28286.26064,0,1075086,732298,928246,280843,217177,468426752,-4000,465014.5714,3640649,43645.8,-504,48,110342,676982,104886,556975,582171,265678,161572,1716820,10090864,11264,1548823,5068324,1313681,2591933,765573,417059,4982422,4847256,1807199,1519855,126046,0,703598,0,10.3,30.0062,254471.28,4661889.68
319,155,203,195,1,2577.655809,31978.57112,5015.516622,23013.87864,76485.55602,12172.98226,31568.41145,204620.8256,99620.06797,525.3960039,314486.8124,221141.3418,50954.51593,132850.8185,35364.09444,20663.09438,957792.8282,291696.6386,179779.0482,256741.5438,4597.949837,0,44035.71822,0,1010363,1019476,1931727,842127,797186,497721344,-10000,1000520.407,5970087,44260.5,2254,48,77448,944658,151269,693394,2297235,366405,953423,6138374,2992101,15799,9471293,6718743,1527072,3973880,1064741,620561,28157864,8746195,5393604,7591399,149704,0,1312168,0,17.73154362,35.04449664,344114.7383,4695527.893
320,73,93,80,21,2039.255396,27342.34544,4680.399765,19948.59775,50243.12774,11369.35386,14171.60533,130105.9619,118530.4617,479.653714,189412.9816,251457.9444,51276.25791,135796.2993,33275.00885,20083.78355,335536.7547,335560.7464,402887.8885,137979.1783,5087.957503,0,31247.7027,0,1321731,2203630,1151614,638646,541877,494563328,-8000,812406.1,12078000,45069.54545,769,47,70533,945638,161587,697899,1733004,393748,499636,4547248,4337289,16573,6514333,8676183,1773055,4699831,1150073,698793,11545332,11934556,14023338,4800576,177326,0,1084992,0,46.57718121,61.08510067,340806.3893,4664465.369
321,190,83,193,65,2129.474559,26427.00473,4682.043228,19457.47586,50730.3707,11438.83318,18277.12256,131526.0961,458706.8065,489.8119969,195589.613,215518.5024,51434.06964,121639.5437,32619.48162,18406.63293,341721.0684,201347.1308,89084.42257,152366.6374,4603.138459,0,30925.86586,0,986284,791776,1154592,610698,526160,493727744,-8000,736339.0357,3739755,44863.88889,-184,47,67511,833661,148080,618244,1605106,362259,593660,4204688,14539064,15504,6162125,6737332,1633059,3852914,1036181,583222,10768534,6460445,2886978,4836980,140067,0,975438,0,18.53333333,36.06766667,321102.4267,4683183.893
322,210,216,26,41,2123.533614,26289.3489,4657.271994,18636.20218,50448.84894,11445.92752,19830.38853,134029.2877,290406.8876,491.3508564,196861.911,206381.2806,52537.55984,121598.6233,32720.56808,17991.93843,333918.0024,194436.0957,76786.03634,150717.9606,6286.131606,0,30361.83726,0,762469,735969,1148938,611449,522690,501276672,-6000,605901.0385,3038941,44316.9,206,46,63794,780256,139893,558941,1522758,344031,589995,4027955,8728668,14753,5932052,6205711,1578439,3654325,981987,540706,10011951,5809336,2320247,4512639,182826,0,909548,0,14.47333333,33.0414,328120.88,4767109.707
323,55,78,67,77,3114.844188,28061.93029,4356.872838,23160.97147,12523.73266,11059.75244,7020.192589,54958.25685,165168.6808,466.3443223,23341.27284,205063.1664,55036.04187,116780.6292,32362.01871,18640.22566,236153.2745,269443.4568,289003.2619,66101.58421,7010.427794,0,28032.87008,0,1220962,2011817,995571,119997,92557,484855808,-4000,674687.087,2418526,43759.71429,-504,46,80225,739876,112392,596105,323525,285557,175606,1429000,4264568,12059,601343,5352854,1419829,3033678,833815,480616,5802823,7071003,8139574,1733420,175697,0,724377,0,33.88,50.68886667,237116.7733,4499851.6
